Player,Role,Team,Year,Amount_Crore,Player Origin
Jayant Yadav,All-Rounder,Delhi Daredevils,2014.0,0.1,Indian
Jayant Yadav,All-Rounder,Delhi Daredevils,2018.0,0.5,Indian
Jayant Yadav,All-Rounder,Gujarat Titans,2022.0,1.7,Indian
Jaydev Shah,All-Rounder,Gujarat Lions,2016.0,0.2,Indian
Jaydev Unadkat,Bowler,Royal Challengers Bangalore,2013.0,3.9375,Indian
Jaydev Unadkat,Bowler,Delhi Daredevils,2014.0,2.8,Indian
Jaydev Unadkat,Bowler,Delhi Daredevils,2015.0,1.1,Indian
Jaydev Unadkat,Bowler,Kolkata Knight Riders,2016.0,1.6,Indian
Jaydev Unadkat,Bowler,Rising Pune Supergiant,2017.0,0.3,Indian
Jaydev Unadkat,Bowler,Rajasthan Royals,2018.0,11.5,Indian
Jaydev Unadkat,Bowler,Rajasthan Royals,2019.0,8.4,Indian
Jaydev Unadkat,Bowler,Rajasthan Royals,2020.0,3.0,Indian
Jaydev Unadkat,Bowler,Mumbai Indians,2022.0,1.3,Indian
Jean-Paul Duminy,Batsman,Delhi Daredevils,2014.0,2.2,Overseas
Jean-Paul Duminy,All-Rounder,Mumbai Indians,2018.0,1.0,Overseas
Jeevan Mendis,All-Rounder,Delhi Daredevils,2013.0,0.375,Overseas
Jesse Ryder,All-Rounder,Delhi Daredevils,2013.0,1.95,Overseas
Jhye Richardson,Bowler,Punjab Kings,2021.0,14.0,Overseas
Jitesh Sharma,Wicket Keeper,Mumbai Indians,2016.0,0.1,Indian
Jitesh Sharma,Wicket Keeper,Punjab Kings,2022.0,0.2,Indian
Joe Denly,Batsman,Kolkata Knight Riders,2019.0,1.0,Overseas
Joel Paris,Bowler,Delhi Daredevils,2016.0,0.3,Overseas
Jofra Archer,All-Rounder,Rajasthan Royals,2018.0,7.2,Overseas
Jofra Archer,All-Rounder,Mumbai Indians,2022.0,8.0,Overseas
Johan Botha,All-Rounder,Delhi Daredevils,2013.0,3.375,Overseas
John Hastings,All-Rounder,Chennai Super Kings,2014.0,0.5,Overseas
John Hastings,Bowler,Kolkata Knight Riders,2016.0,1.3,Overseas
Jonny Bairstow,Wicket Keeper,Sunrisers Hyderabad,2019.0,2.2,Overseas
Jonny Bairstow,Wicket Keeper,Punjab Kings,2022.0,6.75,Overseas
Jos Buttler,Wicket Keeper,Mumbai Indians,2016.0,3.8,Overseas
Jos Buttler,Wicket Keeper,Rajasthan Royals,2018.0,4.4,Overseas
Josh Hazlewood,Bowler,Mumbai Indians,2014.0,0.5,Overseas
Josh Hazlewood,Bowler,Chennai Super Kings,2020.0,2.0,Overseas
Josh Hazlewood,Bowler,Royal Challengers Bangalore,2022.0,7.75,Overseas
Joshua Philippe,Wicket Keeper,Royal Challengers Bangalore,2020.0,0.2,Overseas
Juan Theron,Bowler,Rajasthan Royals,2015.0,0.3,Overseas
Krishnappa Gowtham,All-Rounder,Lucknow Super Giants,2022.0,0.9,Indian
K.Bhagath Varma,All-Rounder,Chennai Super Kings,2021.0,0.2,Indian
K.Bhagath Varma,All-Rounder,Chennai Super Kings,2022.0,0.2,Indian
K.C Cariappa,Bowler,Rajasthan Royals,2021.0,0.2,Indian
K.C Cariappa,Bowler,Rajasthan Royals,2022.0,0.3,Indian
K.C. Cariappa,Bowler,Kolkata Knight Riders,2015.0,2.4,Indian
K.C. Cariappa,Bowler,Kings XI Punjab,2016.0,0.8,Indian
K.K. Jiyaz,Bowler,Delhi Daredevils,2015.0,0.1,Indian
K.M. Asif,Bowler,Chennai Super Kings,2022.0,0.2,Indian
K.S. Bharat,Wicket Keeper,Delhi Capitals,2022.0,2.0,Indian
Kagiso Rabada,Bowler,Delhi Daredevils,2017.0,5.0,Overseas
Kagiso Rabada,Bowler,Delhi Daredevils,2018.0,4.2,Overseas
Kagiso Rabada,Bowler,Punjab Kings,2022.0,9.25,Overseas
Kamlesh Nagarkoti,All-Rounder,Kolkata Knight Riders,2018.0,3.2,Indian
Kamlesh Nagarkoti,All-Rounder,Delhi Capitals,2022.0,1.1,Indian
Kane Richardson,Bowler,Pune Warriors India,2013.0,5.25,Overseas
Kane Richardson,Bowler,Rajasthan Royals,2014.0,1.0,Overseas
Kane Richardson,Bowler,Royal Challengers Bangalore,2016.0,2.0,Overseas
Kane Richardson,Bowler,Royal Challengers Bangalore,2020.0,4.0,Overseas
Kane Williamson,All-Rounder,Sunrisers Hyderabad,2015.0,0.6,Overseas
Kane Williamson,Batsman,Sunrisers Hyderabad,2018.0,3.0,Overseas
Kanishk Seth,All-Rounder,Chennai Super Kings,2018.0,0.2,Indian
Karan Sharma,All-Rounder,Lucknow Super Giants,2022.0,0.2,Indian
Karanveer Singh,All-Rounder,Kings XI Punjab,2014.0,0.1,Indian
Karn Sharma,Bowler,Sunrisers Hyderabad,2014.0,3.75,Indian
Karn Sharma,All-Rounder,Mumbai Indians,2017.0,3.2,Indian
Karn Sharma,Bowler,Chennai Super Kings,2018.0,5.0,Indian
Karn Sharma,Bowler,Royal Challengers Bangalore,2022.0,0.5,Indian
Kartik Tyagi,Bowler,Rajasthan Royals,2020.0,1.3,Indian
Kartik Tyagi,Bowler,Sunrisers Hyderabad,2022.0,4.0,Indian
Karun Nair,Batsman,Rajasthan Royals,2014.0,0.75,Indian
Karun Nair,Batsman,Delhi Daredevils,2016.0,4.0,Indian
Karun Nair,Batsman,Kings XI Punjab,2018.0,5.6,Indian
Karun Nair,Batsman,Kolkata Knight Riders,2021.0,0.5,Indian
Karun Nair,Batsman,Rajasthan Royals,2022.0,1.4,Indian
Kedar Jadhav,Batsman,Delhi Daredevils,2014.0,2.0,Indian
Kedar Jadhav,All-Rounder,Chennai Super Kings,2018.0,7.8,Indian
Kedar Jadhav,All-Rounder,Sunrisers Hyderabad,2021.0,2.0,Indian
Keemo Paul,All-Rounder,Delhi Capitals,2019.0,0.5,Overseas
Kevin Pietersen,Batsman,Delhi Daredevils,2014.0,9.0,Overseas
Kevin Pietersen,Batsman,Sunrisers Hyderabad,2015.0,2.0,Overseas
Kevin Pietersen,Batsman,Rising Pune Supergiant,2016.0,3.5,Overseas
Kevon Cooper,All-Rounder,Rajasthan Royals,2014.0,0.3,Overseas
Kieron Pollard,All-Rounder,Mumbai Indians,2018.0,5.4,Overseas
Kishore Pramod Kamath,All-Rounder,Mumbai Indians,2016.0,1.4,Indian
KL Rahul,Batsman,Sunrisers Hyderabad,2014.0,1.0,Indian
KL Rahul,Batsman,Kings XI Punjab,2018.0,11.0,Indian
Kona Srikar Bharat,Wicket Keeper,Delhi Daredevils,2015.0,0.1,Indian
Kona Srikar Bharat,Wicket Keeper,Royal Challengers Bangalore,2021.0,0.2,Indian
Krishnappa Gowtham,All-Rounder,Mumbai Indians,2017.0,2.0,Indian
Krishnappa Gowtham,Bowler,Rajasthan Royals,2018.0,6.2,Indian
Krishnappa Gowtham,All-Rounder,Chennai Super Kings,2021.0,9.25,Indian
Krismar Santokie,Bowler,Mumbai Indians,2014.0,0.3,Overseas
Krunal Pandya,All-Rounder,Mumbai Indians,2016.0,2.0,Indian
Krunal Pandya,All-Rounder,Mumbai Indians,2018.0,8.8,Indian
Krunal Pandya,All-Rounder,Lucknow Super Giants,2022.0,8.25,Indian
Kshitiz Sharma,All-Rounder,Chennai Super Kings,2018.0,0.2,Indian
Kuldeep Sen,Bowler,Rajasthan Royals,2022.0,0.2,Indian
Kuldeep Yadav,Bowler,Kolkata Knight Riders,2014.0,0.4,Indian
Kuldeep Yadav,Bowler,Kolkata Knight Riders,2018.0,5.8,Indian
Kuldeep Yadav,Bowler,Delhi Capitals,2022.0,2.0,Indian
Kuldip Yadav,Bowler,Rajasthan Royals,2021.0,0.2,Indian
Kuldip Yadav,Bowler,Rajasthan Royals,2022.0,0.2,Indian
Kulwant Khejroliya,Bowler,Mumbai Indians,2017.0,0.1,Indian
Kulwant Khejroliya,Bowler,Royal Challengers Bangalore,2018.0,0.85,Indian
Kusal Janith Perera,Wicket Keeper,Rajasthan Royals,2013.0,0.15,Indian
Kyle Abbott,Bowler,Chennai Super Kings,2015.0,0.3,Overseas
Kyle Abbott,Bowler,Kings XI Punjab,2016.0,2.1,Overseas
Kyle Jamieson,All-Rounder,Royal Challengers Bangalore,2021.0,15.0,Overseas
Kyle Mayers,All-Rounder,Lucknow Super Giants,2022.0,0.5,Overseas
Lakshmipathy Balaji,Bowler,Kings XI Punjab,2014.0,1.8,Indian
Lalit Yadav,All-Rounder,Delhi Capitals,2020.0,0.2,Indian
Lalit Yadav,All-Rounder,Delhi Capitals,2022.0,0.65,Indian
Lasith Malinga,Bowler,Mumbai Indians,2019.0,2.0,Overseas
Laxmi Ratan Shukla,All-Rounder,Delhi Daredevils,2014.0,1.5,Indian
Laxmi Ratan Shukla,All-Rounder,Sunrisers Hyderabad,2015.0,0.3,Indian
Liam Livingstone,All-Rounder,Rajasthan Royals,2019.0,0.5,Overseas
Liam Livingstone,All-Rounder,Rajasthan Royals,2021.0,0.75,Overseas
Liam Livingstone,All-Rounder,Punjab Kings,2022.0,11.5,Overseas
Lockie Ferguson,Bowler,Rising Pune Supergiant,2017.0,0.5,Overseas
Lockie Ferguson,Bowler,Kolkata Knight Riders,2019.0,1.6,Overseas
Lockie Ferguson,Bowler,Gujarat Titans,2022.0,10.0,Overseas
Luke Pomersbach,Batsman,Kings XI Punjab,2013.0,2.25,Overseas
Lukman Hussain Meriwala,Bowler,Delhi Capitals,2021.0,0.2,Indian
Lungisani Ngidi,Bowler,Chennai Super Kings,2018.0,0.5,Overseas
Lungisani Ngidi,Bowler,Delhi Capitals,2022.0,0.5,Overseas
Luvnith Sisodia,Wicket Keeper,Royal Challengers Bangalore,2022.0,0.2,Indian
M Siddharth,Bowler,Kolkata Knight Riders,2020.0,0.2,Indian
M Siddharth,Bowler,Delhi Capitals,2021.0,0.2,Indian
M. Ashwin,Bowler,Rising Pune Supergiant,2016.0,4.5,Indian
M. Ashwin,Bowler,Delhi Daredevils,2017.0,1.0,Indian
M. Ashwin,Bowler,Royal Challengers Bangalore,2018.0,2.2,Indian
M. Ashwin,Bowler,Kings XI Punjab,2019.0,0.2,Indian
M. Harisankar Reddy,Bowler,Chennai Super Kings,2021.0,0.2,Indian
Washington Sundar,All-Rounder,Royal Challengers Bangalore,2018.0,3.2,Indian
Maheesh Theekshana,Bowler,Chennai Super Kings,2022.0,0.7,Overseas
Mahipal Lomror,All-Rounder,Delhi Daredevils,2016.0,0.1,Indian
Mahipal Lomror,All-Rounder,Rajasthan Royals,2018.0,0.2,Indian
Mahipal Lomror,All-Rounder,Royal Challengers Bangalore,2022.0,0.95,Indian
Manan Ajay Sharma,All-Rounder,Kolkata Knight Riders,2016.0,0.1,Indian
Manan Vohra,Batsman,Royal Challengers Bangalore,2018.0,1.1,Indian
Manan Vohra,Batsman,Rajasthan Royals,2019.0,0.2,Indian
Manan Vohra,Batsman,Lucknow Super Giants,2022.0,0.2,Indian
Mandeep Hardev Singh,All-Rounder,Kings XI Punjab,2014.0,0.8,Indian
Mandeep Singh,All-Rounder,Royal Challengers Bangalore,2018.0,1.4,Indian
Mandeep Singh,Batsman,Delhi Capitals,2022.0,1.1,Indian
Manish Pandey,Batsman,Kolkata Knight Riders,2014.0,1.7,Indian
Manish Pandey,Batsman,Sunrisers Hyderabad,2018.0,11.0,Indian
Manish Pandey,Batsman,Lucknow Super Giants,2022.0,4.6,Indian
Manjot Kalra,Batsman,Delhi Daredevils,2018.0,0.2,Indian
Manoj Tiwary,Batsman,Delhi Daredevils,2014.0,2.8,Indian
Manoj Tiwary,Batsman,Rising Pune Supergiant,2017.0,0.5,Indian
Manoj Tiwary,Batsman,Kings XI Punjab,2018.0,1.0,Indian
Manpreet Gony,Bowler,Kings XI Punjab,2013.0,3.75,Indian
Manpreet Gony,Bowler,Gujarat Lions,2017.0,0.6,Indian
Manprit Juneja,Batsman,Sunrisers Hyderabad,2014.0,0.1,Indian
Manvinder Bisla,Wicket Keeper,Kolkata Knight Riders,2014.0,0.6,Indian
Manzoor Dar,All-Rounder,Kings XI Punjab,2018.0,0.2,Indian
Marchant De Lange,Bowler,Mumbai Indians,2014.0,0.3,Overseas
Marco Jansen,All-Rounder,Mumbai Indians,2021.0,0.2,Overseas
Marco Jansen,All-Rounder,Sunrisers Hyderabad,2022.0,4.2,Overseas
Marcus Stoinis,All-Rounder,Delhi Daredevils,2015.0,0.25,Overseas
Marcus Stoinis,All-Rounder,Kings XI Punjab,2016.0,0.55,Overseas
Marcus Stoinis,All-Rounder,Kings XI Punjab,2018.0,6.2,Overseas
Marcus Stoinis,All-Rounder,Delhi Capitals,2020.0,4.8,Overseas
Mark Wood,Bowler,Chennai Super Kings,2018.0,1.5,Overseas
Mark Wood,Bowler,Lucknow Super Giants,2022.0,7.5,Overseas
Martin Guptill,Batsman,Kings XI Punjab,2017.0,0.5,Overseas
Martin Guptill,Batsman,Sunrisers Hyderabad,2019.0,1.0,Overseas
Matt Henry,Bowler,Chennai Super Kings,2014.0,0.3,Overseas
Matt Henry,Bowler,Kings XI Punjab,2017.0,0.5,Overseas
Matthew Wade,Wicket Keeper,Gujarat Titans,2022.0,2.4,Overseas
Mayank Agarwal,Batsman,Delhi Daredevils,2014.0,1.6,Indian
Mayank Agarwal,Batsman,Kings XI Punjab,2018.0,1.0,Indian
Mayank Dagar,All-Rounder,Kings XI Punjab,2018.0,0.2,Indian
Mayank Markande,Bowler,Mumbai Indians,2018.0,0.2,Indian
Mayank Markande,Bowler,Mumbai Indians,2022.0,0.65,Indian
Mayank Yadav,Bowler,Lucknow Super Giants,2022.0,0.2,Indian
Michael Clarke,Batsman,Pune Warriors India,2013.0,3.0,Overseas
Michael Hussey,Batsman,Mumbai Indians,2014.0,5.0,Overseas
Michael Hussey,Batsman,Chennai Super Kings,2015.0,1.5,Overseas
Midhun S,All-Rounder,Rajasthan Royals,2018.0,0.2,Indian
Milind Kumar,Batsman,Delhi Daredevils,2014.0,0.1,Indian
Milind Kumar,All-Rounder,Royal Challengers Bangalore,2019.0,0.2,Indian
Milind Tandon,All-Rounder,Rising Pune Supergiant,2017.0,0.1,Indian
Mitchell Johnson,All-Rounder,Kings XI Punjab,2014.0,6.5,Overseas
Mitchell Johnson,Bowler,Mumbai Indians,2017.0,2.0,Overseas
Mitchell Johnson,Bowler,Kolkata Knight Riders,2018.0,2.0,Overseas
Mitchell Marsh,All-Rounder,Rising Pune Supergiant,2016.0,4.8,Overseas
Mitchell Marsh,All-Rounder,Sunrisers Hyderabad,2020.0,2.0,Overseas
Mitchell Marsh,All-Rounder,Delhi Capitals,2022.0,6.5,Overseas
Mitchell McClenaghan,Bowler,Mumbai Indians,2015.0,0.3,Overseas
Mitchell Santner,All-Rounder,Chennai Super Kings,2018.0,0.5,Overseas
Mitchell Santner,All-Rounder,Chennai Super Kings,2022.0,1.9,Overseas
Mitchell Starc,Bowler,Royal Challengers Bangalore,2014.0,5.0,Overseas
Mitchell Starc,Bowler,Kolkata Knight Riders,2018.0,9.4,Overseas
Mithun Manhas,All-Rounder,Chennai Super Kings,2014.0,0.3,Indian
Moeen Ali,All-Rounder,Royal Challengers Bangalore,2018.0,1.7,Overseas
Moeen Ali,All-Rounder,Chennai Super Kings,2021.0,7.0,Overseas
Mohammad Nabi,All-Rounder,Sunrisers Hyderabad,2017.0,0.3,Overseas
Mohammad Nabi,All-Rounder,Sunrisers Hyderabad,2018.0,1.0,Overseas
Mohammad Nabi,All-Rounder,Kolkata Knight Riders,2022.0,1.0,Overseas
Mohammad Shami,Bowler,Delhi Daredevils,2014.0,4.25,Indian
Mohammad Shami,Bowler,Delhi Daredevils,2018.0,3.0,Indian
Mohammad Shami,Bowler,Kings XI Punjab,2019.0,4.8,Indian
Mohammad Shami,Bowler,Gujarat Titans,2022.0,6.25,Indian
Mohammed Azharudeen,Wicket Keeper,Royal Challengers Bangalore,2021.0,0.2,Indian
Mohammed Siraj,Bowler,Sunrisers Hyderabad,2017.0,2.6,Indian
Mohammed Siraj,Bowler,Royal Challengers Bangalore,2018.0,2.6,Indian
Mohd. Arshad Khan,All-Rounder,Mumbai Indians,2022.0,0.2,Indian
Mohit Sharma,Bowler,Chennai Super Kings,2014.0,2.0,Indian
Mohit Sharma,Bowler,Kings XI Punjab,2016.0,6.5,Indian
Mohit Sharma,Bowler,Kings XI Punjab,2018.0,2.4,Indian
Mohit Sharma,Bowler,Chennai Super Kings,2019.0,5.0,Indian
Mohit Sharma,Bowler,Delhi Capitals,2020.0,0.5,Indian
Mohsin Khan,Bowler,Mumbai Indians,2018.0,0.2,Indian
Mohsin Khan,Bowler,Mumbai Indians,2020.0,0.2,Indian
Mohsin Khan,Bowler,Lucknow Super Giants,2022.0,0.2,Indian
Moises Henriques,All-Rounder,Royal Challengers Bangalore,2013.0,2.25,Overseas
Moises Henriques,All-Rounder,Sunrisers Hyderabad,2014.0,1.0,Overseas
Moises Henriques,All-Rounder,Kings XI Punjab,2019.0,1.0,Overseas
Moises Henriques,All-Rounder,Punjab Kings,2021.0,4.2,Overseas
Monu Singh,Bowler,Chennai Super Kings,2018.0,0.2,Indian
Morne Morkel,Bowler,Kolkata Knight Riders,2014.0,2.8,Overseas
Mujeeb Zadran,Bowler,Kings XI Punjab,2018.0,4.0,Overseas
Mujeeb Zadran,Bowler,Sunrisers Hyderabad,2021.0,1.5,Overseas
Mukesh Choudhary,Bowler,Chennai Super Kings,2022.0,0.2,Indian
Munaf Patel,Bowler,Gujarat Lions,2017.0,0.3,Indian
Murali Kartik,Bowler,Kings XI Punjab,2014.0,1.0,Indian
Murali Vijay,Batsman,Delhi Daredevils,2014.0,5.0,Indian
Murali Vijay,Batsman,Kings XI Punjab,2015.0,3.0,Indian
Murali Vijay,Batsman,Chennai Super Kings,2018.0,2.0,Indian
Murugan Ashwin,Bowler,Mumbai Indians,2022.0,1.6,Indian
Mustafizur Rahman,Bowler,Sunrisers Hyderabad,2016.0,1.4,Overseas
Mustafizur Rahman,Bowler,Mumbai Indians,2018.0,2.2,Overseas
Mustafizur Rahman,Bowler,Rajasthan Royals,2021.0,1.0,Overseas
Mustafizur Rahman,Bowler,Delhi Capitals,2022.0,2.0,Overseas
Muttiah Muralitharan,Bowler,Royal Challengers Bangalore,2014.0,1.0,Overseas
N Jagadeesan,Wicket Keeper,Chennai Super Kings,2018.0,0.2,Indian
N. Jagadeesan,Wicket Keeper,Chennai Super Kings,2022.0,0.2,Indian
N. Tilak Varma,All-Rounder,Mumbai Indians,2022.0,1.7,Indian
Naman Ojha,Wicket Keeper,Sunrisers Hyderabad,2014.0,0.5,Indian
Naman Ojha,Wicket Keeper,Delhi Daredevils,2018.0,1.4,Indian
Nathan Coulter-Nile,Bowler,Mumbai Indians,2013.0,3.375,Overseas
Nathan Coulter-Nile,Bowler,Delhi Daredevils,2014.0,4.25,Overseas
Nathan Coulter-Nile,Bowler,Kolkata Knight Riders,2017.0,3.5,Overseas
Nathan Coulter-Nile,Bowler,Royal Challengers Bangalore,2018.0,2.2,Overseas
Nathan Coulter-Nile,Bowler,Mumbai Indians,2020.0,8.0,Overseas
Nathan Coulter-Nile,Bowler,Mumbai Indians,2021.0,5.0,Overseas
Nathan Coulter-Nile,Bowler,Rajasthan Royals,2022.0,2.0,Overseas
Nathan Ellis,Bowler,Punjab Kings,2022.0,0.75,Overseas
Nathan McCullum,Bowler,Sunrisers Hyderabad,2013.0,0.75,Overseas
Nathu Singh,Bowler,Mumbai Indians,2016.0,3.2,Indian
Nathu Singh,Bowler,Gujarat Lions,2017.0,0.5,Indian
Nathu Singh,Bowler,Delhi Capitals,2019.0,0.2,Indian
Navdeep Saini,Bowler,Delhi Daredevils,2017.0,0.1,Indian
Navdeep Saini,Bowler,Royal Challengers Bangalore,2018.0,3.0,Indian
Navdeep Saini,Bowler,Rajasthan Royals,2022.0,2.6,Indian
Nic Maddinson,Batsman,Royal Challengers Bangalore,2014.0,0.5,Overseas
Nicolas Pooran,Wicket Keeper,Sunrisers Hyderabad,2022.0,10.75,Overseas
Nicolas Pooran,Wicket Keeper,Mumbai Indians,2017.0,0.3,Overseas
Nicolas Pooran,Wicket Keeper,Kings XI Punjab,2019.0,4.2,Overseas
Nidheesh M D Dinesan,Bowler,Mumbai Indians,2018.0,0.2,Indian
Nikhil Shankar Naik,Wicket Keeper,Kings XI Punjab,2015.0,0.3,Indian
Nikhil Shankar Naik,Wicket Keeper,Kolkata Knight Riders,2019.0,0.2,Indian
Nikhil Shankar Naik,Wicket Keeper,Kolkata Knight Riders,2020.0,0.2,Indian
Nitish Rana,All-Rounder,Mumbai Indians,2015.0,0.1,Indian
Nitish Rana,All-Rounder,Kolkata Knight Riders,2018.0,3.4,Indian
Nitish Rana,All-Rounder,Kolkata Knight Riders,2022.0,8.0,Indian
Noor Ahmad,Bowler,Gujarat Titans,2022.0,0.3,Overseas
Obed Mccoy,Bowler,Rajasthan Royals,2022.0,0.75,Overseas
Odean Smith,All-Rounder,Punjab Kings,2022.0,6.0,Overseas
Oshane Thomas,Bowler,Rajasthan Royals,2019.0,1.1,Overseas
Oshane Thomas,Bowler,Rajasthan Royals,2020.0,0.5,Overseas
Pankaj Jaswal,All-Rounder,Mumbai Indians,2019.0,0.2,Overseas
Pankaj Singh,Bowler,Royal Challengers Bangalore,2013.0,1.125,Indian
Paras Dogra,Batsman,Gujarat Lions,2016.0,0.1,Indian
Pardeep Sahu,All-Rounder,Rajasthan Royals,2015.0,0.1,Indian
Pardeep Sahu,All-Rounder,Kings XI Punjab,2016.0,0.1,Indian
Pardeep Sahu,Bowler,Kings XI Punjab,2018.0,0.2,Indian
Parthiv Patel,Wicket Keeper,Royal Challengers Bangalore,2014.0,1.4,Indian
Parthiv Patel,Wicket Keeper,Royal Challengers Bangalore,2018.0,1.7,Indian
Parveez Rasool,All-Rounder,Sunrisers Hyderabad,2014.0,0.95,Indian
Parvinder Awana,Bowler,Kings XI Punjab,2014.0,0.65,Indian
Pat Cummins,Bowler,Mumbai Indians,2018.0,5.4,Overseas
Pat Cummins,All-Rounder,Kolkata Knight Riders,2020.0,15.5,Overseas
Pat Cummins,All-Rounder,Kolkata Knight Riders,2022.0,7.25,Overseas
Pat Cummins,Bowler,Kolkata Knight Riders,2014.0,1.0,Overseas
Pat Cummins,Bowler,Delhi Daredevils,2017.0,4.5,Overseas
Pavan Deshpande,All-Rounder,Royal Challengers Bangalore,2018.0,0.2,Indian
Pavan Deshpande,All-Rounder,Royal Challengers Bangalore,2020.0,0.2,Indian
Pawan Negi,Bowler,Chennai Super Kings,2014.0,0.1,Indian
Pawan Negi,All-Rounder,Delhi Daredevils,2016.0,8.5,Indian
Pawan Negi,All-Rounder,Royal Challengers Bangalore,2017.0,1.0,Indian
Pawan Negi,All-Rounder,Royal Challengers Bangalore,2018.0,1.0,Indian
Pawan Negi,All-Rounder,Kolkata Knight Riders,2021.0,0.5,Indian
Pawan Suyal,Bowler,Mumbai Indians,2014.0,0.1,Indian
Pawan Suyal,Bowler,Delhi Daredevils,2016.0,0.1,Indian
Peter Handscomb,Wicket Keeper,Rising Pune Supergiant,2016.0,0.3,Overseas
Philip Hughes,Batsman,Mumbai Indians,2013.0,0.75,Overseas
Piyush Chawla,Bowler,Kolkata Knight Riders,2014.0,4.25,Indian
Piyush Chawla,Bowler,Kolkata Knight Riders,2018.0,4.2,Indian
Piyush Chawla,Bowler,Chennai Super Kings,2020.0,6.75,Indian
Piyush Chawla,Bowler,Mumbai Indians,2021.0,2.4,Indian
Prabhsimran Singh,Wicket Keeper,Kings XI Punjab,2019.0,4.8,Indian
Prabhsimran Singh,Wicket Keeper,Kings XI Punjab,2020.0,0.55,Indian
Prabhsimran Singh,Wicket Keeper,Punjab Kings,2022.0,0.6,Indian
Pradeep Sangwan,All-Rounder,Gujarat Lions,2016.0,0.2,Indian
Pradeep Sangwan,Bowler,Mumbai Indians,2018.0,1.5,Indian
Pradeep Sangwan,All-Rounder,Gujarat Titans,2022.0,0.2,Indian
Pragyan Ojha,Bowler,Mumbai Indians,2014.0,3.25,Indian
Pragyan Ojha,Bowler,Mumbai Indians,2015.0,0.5,Indian
Prasanth Padmanabhan,All-Rounder,Sunrisers Hyderabad,2015.0,0.1,Indian
Prasanth Parameswaran,Bowler,Sunrisers Hyderabad,2014.0,0.3,Indian
Prashant Chopra,Wicket Keeper,Rajasthan Royals,2018.0,0.2,Indian
Prashant Solanki,Bowler,Chennai Super Kings,2022.0,1.2,Indian
Prasidh Krishna,Bowler,Rajasthan Royals,2022.0,10.0,Indian
Pratham Singh,All-Rounder,Gujarat Lions,2017.0,0.1,Indian
Pratham Singh,Batsman,Kolkata Knight Riders,2022.0,0.2,Indian
Pratyush Singh,All-Rounder,Chennai Super Kings,2015.0,0.1,Indian
Pratyush Singh,All-Rounder,Delhi Daredevils,2016.0,0.1,Indian
Praveen Dubey,All-Rounder,Royal Challengers Bangalore,2016.0,0.35,Indian
Praveen Dubey,All-Rounder,Royal Challengers Bangalore,2017.0,0.1,Indian
Praveen Kumar,Bowler,Sunrisers Hyderabad,2015.0,2.2,Indian
Praveen Kumar,Bowler,Gujarat Lions,2016.0,3.5,Indian
Pravin Dubey,All-Rounder,Delhi Capitals,2022.0,0.5,Indian
Pravin Tambe,Bowler,Rajasthan Royals,2014.0,0.1,Indian
Pravin Tambe,Bowler,Gujarat Lions,2016.0,0.2,Indian
Pravin Tambe,Bowler,Sunrisers Hyderabad,2017.0,0.1,Indian
Pravin Tambe,Bowler,Kolkata Knight Riders,2020.0,0.2,Indian
Prayas Ray Barman,All-Rounder,Royal Challengers Bangalore,2019.0,1.5,Indian
Prerak Mankad,All-Rounder,Punjab Kings,2022.0,0.2,Indian
Prince Balwant Rai Singh,All-Rounder,Mumbai Indians,2020.0,0.2,Indian
Prithvi Raj Yarra,Bowler,Kolkata Knight Riders,2019.0,0.2,Indian
Prithvi Shaw,Batsman,Delhi Daredevils,2018.0,1.2,Indian
Priyam Garg,Batsman,Sunrisers Hyderabad,2020.0,1.9,Indian
Priyam Garg,Batsman,Sunrisers Hyderabad,2022.0,0.2,Indian
Quinton De Kock,Wicket Keeper,Sunrisers Hyderabad,2013.0,0.15,Overseas
Quinton De Kock,Wicket Keeper,Delhi Daredevils,2014.0,3.5,Overseas
Quinton De Kock,Wicket Keeper,Royal Challengers Bangalore,2018.0,2.8,Overseas
Quinton De Kock,Wicket Keeper,Lucknow Super Giants,2022.0,6.75,Overseas
R Samarth,Batsman,Sunrisers Hyderabad,2022.0,0.2,Indian
R. Ashwin,All-Rounder,Rajasthan Royals,2022.0,5.0,Indian
R. Sai Kishore,Bowler,Chennai Super Kings,2020.0,0.2,Indian
R. Sai Kishore,Bowler,Gujarat Titans,2022.0,3.0,Indian
R. Sanjay Yadav,All-Rounder,Kolkata Knight Riders,2017.0,0.1,Indian
Rahul Ajay Tripathi,All-Rounder,Rising Pune Supergiant,2017.0,0.1,Indian
Rahul Buddhi,Batsman,Mumbai Indians,2022.0,0.2,Indian
Rahul Chahar,Bowler,Rising Pune Supergiant,2017.0,0.1,Indian
Rahul Chahar,Bowler,Mumbai Indians,2018.0,1.9,Indian
Rahul Chahar,Bowler,Punjab Kings,2022.0,5.25,Indian
Rahul Sharma,Bowler,Delhi Daredevils,2014.0,1.9,Indian
Rahul Sharma,Bowler,Chennai Super Kings,2015.0,0.3,Indian
Rahul Shukla,Bowler,Delhi Daredevils,2014.0,0.4,Indian
Rahul Tewatia,All-Rounder,Rajasthan Royals,2014.0,0.1,Indian
Rahul Tewatia,All-Rounder,Kings XI Punjab,2017.0,0.25,Indian
Rahul Tewatia,All-Rounder,Delhi Daredevils,2018.0,3.0,Indian
Rahul Tewatia,All-Rounder,Gujarat Titans,2022.0,9.0,Indian
